"GO.ID","Term","Annotated","Significant","Expected","Pvalue","Adj.Pvalue"
"GO:0051865","protein autoubiquitination",52,9,1.86,"8.2e-05",0.00398472463768116
"GO:0002682","regulation of immune system process",249,22,8.89,"8.8e-05",0.00417976712328767
"GO:1903506","regulation of nucleic acid-templated tra...",2070,105,73.89,"9.0e-05",0.00417976712328767
"GO:2001141","regulation of RNA biosynthetic process",2070,105,73.89,"9.0e-05",0.00417976712328767
"GO:0019748","secondary metabolic process",554,38,19.77,"9.1e-05",0.00417976712328767
"GO:0032870","cellular response to hormone stimulus",1137,65,40.58,"9.8e-05",0.00444045945945946
"GO:0008152","metabolic process",10388,408,370.8,"0.00010",0.00447066666666667
"GO:0009692","ethylene metabolic process",32,7,1.14,"0.00011",0.004610375
"GO:0009693","ethylene biosynthetic process",32,7,1.14,"0.00011",0.004610375
"GO:0043449","cellular alkene metabolic process",32,7,1.14,"0.00011",0.004610375
"GO:0043450","alkene biosynthetic process",32,7,1.14,"0.00011",0.004610375
"GO:1900674","olefin biosynthetic process",32,7,1.14,"0.00011",0.004610375
"GO:0016567","protein ubiquitination",581,39,20.74,"0.00012",0.00484771084337349
"GO:0009620","response to fungus",561,38,20.02,"0.00012",0.00484771084337349
"GO:0071495","cellular response to endogenous stimulus",1214,68,43.33,"0.00012",0.00484771084337349
"GO:0032446","protein modification by small protein co...",607,40,21.67,"0.00014",0.00558833333333333
"GO:0031349","positive regulation of defense response",156,16,5.57,"0.00015",0.00591705882352941
"GO:1901362","organic cyclic compound biosynthetic pro...",2996,141,106.94,"0.00016",0.00623813953488372
"GO:0048584","positive regulation of response to stimu...",470,33,16.78,"0.00017",0.00655183908045977
"GO:0045089","positive regulation of innate immune res...",127,14,4.53,"0.00018",0.00685840909090909
"GO:0009889","regulation of biosynthetic process",2479,120,88.49,"0.00019",0.00707855555555556
"GO:1902532","negative regulation of intracellular sig...",84,11,3,"0.00019",0.00707855555555556
"GO:1901564","organonitrogen compound metabolic proces...",4730,207,168.84,"0.00020",0.00728913043478261
"GO:0002376","immune system process",639,41,22.81,"0.00020",0.00728913043478261
"GO:0050832","defense response to fungus",458,32,16.35,"0.00023",0.00820414893617021
"GO:0019438","aromatic compound biosynthetic process",2868,135,102.37,"0.00023",0.00820414893617021
"GO:1900673","olefin metabolic process",36,7,1.29,"0.00024",0.00847073684210526
"GO:0010104","regulation of ethylene-activated signali...",73,10,2.61,"0.00025",0.00855357142857143
"GO:0070297","regulation of phosphorelay signal transd...",73,10,2.61,"0.00025",0.00855357142857143
"GO:0120251","hydrocarbon biosynthetic process",73,10,2.61,"0.00025",0.00855357142857143
"GO:0051716","cellular response to stimulus",3465,158,123.68,"0.00027",0.0090531
"GO:0009699","phenylpropanoid biosynthetic process",117,13,4.18,"0.00027",0.0090531
"GO:0031326","regulation of cellular biosynthetic proc...",2427,117,86.63,"0.00028",0.00929544554455445
"GO:0097659","nucleic acid-templated transcription",2158,106,77.03,"0.00029",0.00953303921568627
"GO:0042446","hormone biosynthetic process",274,22,9.78,"0.00034",0.0110681553398058
"GO:0009812","flavonoid metabolic process",136,14,4.85,"0.00036",0.011496
"GO:0032774","RNA biosynthetic process",2171,106,77.49,"0.00036",0.011496
"GO:0009628","response to abiotic stimulus",2647,125,94.48,"0.00038",0.0119078504672897
"GO:0006355","regulation of transcription, DNA-templat...",2027,100,72.35,"0.00038",0.0119078504672897
"GO:0002213","defense response to insect",28,6,1,"0.00039",0.0121080555555556
"GO:1901701","cellular response to oxygen-containing c...",1061,59,37.87,"0.00043",0.012718275862069
"GO:0052031","modulation by symbiont of host defense r...",19,5,0.68,"0.00044",0.012718275862069
"GO:0052167","modulation by symbiont of host innate im...",19,5,0.68,"0.00044",0.012718275862069
"GO:0052173","response to defenses of other organism",19,5,0.68,"0.00044",0.012718275862069
"GO:0052200","response to host defenses",19,5,0.68,"0.00044",0.012718275862069
"GO:0052553","modulation by symbiont of host immune re...",19,5,0.68,"0.00044",0.012718275862069
"GO:0052572","response to host immune response",19,5,0.68,"0.00044",0.012718275862069
"GO:0075136","response to host",19,5,0.68,"0.00044",0.012718275862069
"GO:0050778","positive regulation of immune response",139,14,4.96,"0.00045",0.0128961538461538
"GO:0031323","regulation of cellular metabolic process",2978,137,106.3,"0.00057",0.0160605882352941
"GO:0070647","protein modification by small protein co...",672,41,23.99,"0.00057",0.0160605882352941
"GO:0019222","regulation of metabolic process",3319,150,118.47,"0.00063",0.01760325
"GO:0051252","regulation of RNA metabolic process",2180,105,77.81,"0.00064",0.0177191056910569
"GO:1902531","regulation of intracellular signal trans...",178,16,6.35,"0.00065",0.0177191056910569
"GO:0080090","regulation of primary metabolic process",2809,130,100.27,"0.00065",0.0177191056910569
"GO:0048585","negative regulation of response to stimu...",528,34,18.85,"0.00066",0.0178466129032258
"GO:0051171","regulation of nitrogen compound metaboli...",2764,128,98.66,"0.00071",0.01904504
"GO:0009682","induced systemic resistance",56,8,2,"0.00078",0.0207566666666667
"GO:0002684","positive regulation of immune system pro...",147,14,5.25,"0.00079",0.0208572440944882
"GO:0009962","regulation of flavonoid biosynthetic pro...",44,7,1.57,"0.00086",0.02252796875
"GO:0031098","stress-activated protein kinase signalin...",57,8,2.03,"0.00088",0.0228731782945736
"GO:0009698","phenylpropanoid metabolic process",149,14,5.32,"0.00090",0.0232130769230769
"GO:0120252","hydrocarbon metabolic process",86,10,3.07,"0.00096",0.0242021052631579
"GO:0002833","positive regulation of response to bioti...",150,14,5.35,"0.00096",0.0242021052631579
"GO:0009966","regulation of signal transduction",712,42,25.41,"0.00096",0.0242021052631579
"GO:0071310","cellular response to organic substance",1451,74,51.79,"0.00100",0.0250223880597015
"GO:0032103","positive regulation of response to exter...",151,14,5.39,"0.00103",0.0255821481481482
"GO:0006351","transcription, DNA-templated",2121,101,75.71,"0.00121",0.0298318382352941
"GO:0120255","olefinic compound biosynthetic process",60,8,2.14,"0.00125",0.0305930656934307
"GO:0009809","lignin biosynthetic process",47,7,1.68,"0.00129",0.0313432608695652
"GO:0010556","regulation of macromolecule biosynthetic...",2329,109,83.13,"0.00137",0.0330475539568345
"GO:0044238","primary metabolic process",8721,344,311.29,"0.00154",0.036883
"GO:0033993","response to lipid",1189,62,42.44,"0.00156",0.0370970212765957
"GO:0010646","regulation of cell communication",778,44,27.77,"0.00169",0.0399054225352113
"GO:0120254","olefinic compound metabolic process",110,11,3.93,"0.00190",0.0445503496503496
"GO:0044237","cellular metabolic process",9323,364,332.78,"0.00192",0.0447066666666667
"GO:0043405","regulation of MAP kinase activity",26,5,0.93,"0.00201",0.0464795172413793
"GO:0060255","regulation of macromolecule metabolic pr...",2995,134,106.91,"0.00205",0.0465819463087248
"GO:0023014","signal transduction by protein phosphory...",95,10,3.39,"0.00205",0.0465819463087248
"GO:0032104","regulation of response to extracellular ...",16,4,0.57,"0.00207",0.0465819463087248
"GO:0032107","regulation of response to nutrient level...",16,4,0.57,"0.00207",0.0465819463087248
